Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.342000e-03,0.0240625,-0.0390625,0.145312,-0.00103594
-1.341000e-03,-0.0015625,0.046875,0.142188,-0.000886563
-1.340000e-03,0.00375,-0.0273438,0.267188,-0.00089125
-1.339000e-03,0.0084375,0.009375,0.220313,-0.000851563
-1.338000e-03,0.02375,0.059375,0.245313,-0.000865938
-1.337000e-03,0.0140625,0.0109375,0.14375,-0.00100625
-1.336000e-03,0.0240625,-0.003125,0.14375,-0.000976563
-1.335000e-03,0.0090625,-0.015625,0.26875,-0.000981563
-1.334000e-03,0.0084375,-0.028125,0.267188,-0.00100656
-1.333000e-03,-0.02125,0.021875,0.19375,-0.00103656
-1.332000e-03,0.01875,-0.003125,0.167188,-0.00108594
-1.331000e-03,0.00875,0.034375,0.26875,-0.000981563
-1.330000e-03,0.00875,-0.0648438,0.220313,-0.00104094
-1.329000e-03,0.0084375,-0.053125,0.21875,-0.000970938
-1.328000e-03,0.0034375,-0.0164063,0.14375,-0.000971563
-1.327000e-03,0.0084375,-0.00390625,0.16875,-0.00092125
-1.326000e-03,0.0334375,0.0335937,0.217187,-0.000821875
-1.325000e-03,0.02375,-0.003125,0.16875,-0.000955938
-1.324000e-03,0.00875,-0.028125,0.192187,-0.00102625
-1.323000e-03,0.0084375,-0.0289063,0.26875,-0.00102125
-1.322000e-03,0.00375,-0.0414063,0.270312,-0.000916563
-1.321000e-03,0.0084375,0.046875,0.195312,-0.000796563
-1.320000e-03,0.0084375,-0.028125,0.192187,-0.000916563
-1.319000e-03,0.003125,0.0078125,0.192187,-0.00100156
-1.318000e-03,0.019375,-0.0398438,0.145312,-0.00104125
-1.317000e-03,0.00375,0.0335937,0.19375,-0.00105094
-1.316000e-03,0.0034375,-0.028125,0.192187,-0.000846563
-1.315000e-03,0.00375,-0.0289063,0.192187,-0.000846563
-1.314000e-03,0.0140625,0.0484375,0.295312,-0.00104094
-1.313000e-03,0.003125,-0.00390625,0.192187,-0.000881875
-1.312000e-03,0.0134375,0.0210937,0.242188,-0.00102688
-1.311000e-03,0.018125,-0.00546875,0.217187,-0.00111156
-1.310000e-03,-0.0009375,0.021875,0.24375,-0.00130094
-1.309000e-03,0.00875,0.00859375,0.26875,-0.000971563
-1.308000e-03,0.0034375,-0.0664062,0.242188,-0.00102156
