Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.2,0.5
Vertical Position,0,-1.72,-3.18
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
1.5e-04,-2.2,0.136,0.57
1.5e-04,-2.12,0.12,0.59
1.5e-04,-2.2,0.12,0.59
1.5e-04,-2.2,0.12,0.57
1.5e-04,-2.2,0.128,0.59
1.5e-04,-2.2,0.128,0.59
1.5e-04,-2.2,0.136,0.55
1.5e-04,-2.12,0.128,0.57
1.5e-04,-2.2,0.128,0.57
1.6e-04,-2.2,0.128,0.61
1.6e-04,-2.16,0.128,0.57
1.6e-04,-2.2,0.128,0.59
1.6e-04,-2.16,0.128,0.59
1.6e-04,-2.16,0.12,0.57
1.6e-04,-2.16,0.136,0.61
1.6e-04,-2.2,0.128,0.59
1.6e-04,-2.16,0.12,0.59
1.6e-04,-2.2,0.128,0.59
1.7e-04,-2.12,0.128,0.59
1.7e-04,-2.2,0.136,0.57
1.7e-04,-2.2,0.128,0.61
1.7e-04,-2.2,0.128,0.59
1.7e-04,-2.2,0.128,0.59
1.7e-04,-2.16,0.136,0.61
1.7e-04,-2.16,0.128,0.59
1.7e-04,-2.2,0.136,0.57
1.7e-04,-2.2,0.128,0.57
1.7e-04,-2.16,0.136,0.59
1.8e-04,-2.2,0.128,0.57
1.8e-04,-2.12,0.12,0.59
1.8e-04,-2.2,0.136,0.61
1.8e-04,-2.2,0.128,0.57
1.8e-04,-2.16,0.12,0.57
1.8e-04,-2.16,0.128,0.59
1.8e-04,-2.16,0.12,0.57
1.8e-04,-2.2,0.128,0.57
1.8e-04,-2.2,0.128,0.57
1.8e-04,-2.16,0.136,0.57
1.9e-04,-2.2,0.128,0.57
1.9e-04,-2.16,0.128,0.59
1.9e-04,-2.16,0.128,0.59
1.9e-04,-2.16,0.128,0.59
1.9e-04,-2.2,0.12,0.59
1.9e-04,-2.16,0.128,0.57
1.9e-04,-2.16,0.128,0.57
1.9e-04,-2.2,0.128,0.57
1.9e-04,-2.12,0.128,0.57
1.9e-04,-2.16,0.128,0.57
2.0e-04,-2.12,0.128,0.59
2.0e-04,-2.2,0.128,0.57
2.0e-04,-2.24,0.12,0.57
2.0e-04,-2.16,0.128,0.59
2.0e-04,-2.16,0.12,0.59
2.0e-04,-2.12,0.128,0.59
2.0e-04,-2.16,0.12,0.57
2.0e-04,-2.12,0.128,0.59
2.0e-04,-2.2,0.128,0.59
2.0e-04,-2.16,0.136,0.57
2.1e-04,-2.16,0.136,0.57
2.1e-04,-2.2,0.136,0.59
2.1e-04,-2.16,0.12,0.57
2.1e-04,-2.16,0.12,0.57
2.1e-04,-2.16,0.12,0.57
2.1e-04,-2.2,0.128,0.57
2.1e-04,-2.2,0.136,0.59
2.1e-04,-2.16,0.128,0.59
2.1e-04,-2.16,0.12,0.59
2.1e-04,-2.2,0.136,0.61
2.2e-04,-2.16,0.128,0.57
2.2e-04,-2.12,0.128,0.57
2.2e-04,-2.16,0.128,0.57
2.2e-04,-2.16,0.12,0.59
2.2e-04,-2.2,0.128,0.59
2.2e-04,-2.16,0.128,0.57
2.2e-04,-2.16,0.128,0.57
2.2e-04,-2.16,0.136,0.59
2.2e-04,-2.16,0.128,0.59
2.2e-04,-2.2,0.12,0.59
2.3e-04,-2.16,0.128,0.59
2.3e-04,-2.2,0.12,0.59
2.3e-04,-2.2,0.128,0.57
2.3e-04,-2.12,0.136,0.59
2.3e-04,-2.16,0.128,0.59
2.3e-04,-2.2,0.128,0.57
2.3e-04,-2.16,0.128,0.59
2.3e-04,-2.12,0.128,0.61
2.3e-04,-2.2,0.128,0.57
2.3e-04,-2.16,0.128,0.59
2.4e-04,-2.16,0.12,0.57
2.4e-04,-2.12,0.128,0.57
2.4e-04,-2.16,0.128,0.59
2.4e-04,-2.16,0.12,0.61
2.4e-04,-2.2,0.128,0.59
2.4e-04,-2.2,0.12,0.57
2.4e-04,-2.16,0.128,0.59
2.4e-04,-2.16,0.136,0.59
2.4e-04,-2.16,0.12,0.59
2.4e-04,-2.2,0.128,0.57
2.4e-04,-2.12,0.136,0.61
2.5e-04,-2.12,0.128,0.59
2.5e-04,-2.16,0.128,0.61
2.5e-04,-2.16,0.128,0.55
2.5e-04,-2.16,0.12,0.59
2.5e-04,-2.16,0.128,0.59
2.5e-04,-2.2,0.12,0.57
2.5e-04,-2.16,0.128,0.59
2.5e-04,-2.16,0.136,0.57
2.5e-04,-2.16,0.128,0.59
2.6e-04,-2.12,0.128,0.59
2.6e-04,-2.12,0.128,0.59
2.6e-04,-2.16,0.128,0.59
2.6e-04,-2.16,0.128,0.57
2.6e-04,-2.16,0.136,0.57
2.6e-04,-2.16,0.128,0.55
2.6e-04,-2.2,0.128,0.59
2.6e-04,-2.16,0.136,0.59
2.6e-04,-2.12,0.12,0.57
2.6e-04,-2.12,0.128,0.57
2.7e-04,-2.16,0.12,0.61
2.7e-04,-2.2,0.12,0.59
2.7e-04,-2.16,0.128,0.57
2.7e-04,-2.16,0.12,0.59
2.7e-04,-2.16,0.128,0.57
2.7e-04,-2.16,0.128,0.59
2.7e-04,-2.12,0.128,0.59
2.7e-04,-2.16,0.12,0.57
2.7e-04,-2.16,0.128,0.57
2.7e-04,-2.12,0.128,0.57
2.8e-04,-2.12,0.128,0.59
2.8e-04,-2.16,0.128,0.59
2.8e-04,-2.2,0.136,0.61
2.8e-04,-2.16,0.128,0.57
2.8e-04,-2.16,0.136,0.57
2.8e-04,-2.16,0.128,0.57
2.8e-04,-2.16,0.136,0.59
2.8e-04,-2.12,0.128,0.59
2.8e-04,-2.12,0.128,0.59
2.8e-04,-2.12,0.128,0.57
2.9e-04,-2.12,0.128,0.59
2.9e-04,-2.12,0.128,0.57
2.9e-04,-2.12,0.12,0.57
2.9e-04,-2.16,0.12,0.59
2.9e-04,-2.2,0.136,0.57
2.9e-04,-2.16,0.12,0.57
2.9e-04,-2.16,0.128,0.59
2.9e-04,-2.12,0.128,0.59
2.9e-04,-2.16,0.128,0.57
2.9e-04,-2.2,0.128,0.57
3.0e-04,-2.16,0.128,0.59
3.0e-04,-2.16,0.128,0.55
3.0e-04,-2.16,0.136,0.57
3.0e-04,-2.12,0.12,0.55
3.0e-04,-2.16,0.128,0.59
3.0e-04,-2.16,0.136,0.57
3.0e-04,-2.12,0.12,0.59
3.0e-04,-2.16,0.12,0.59
3.0e-04,-2.12,0.128,0.57
3.0e-04,-2.12,0.136,0.61
3.1e-04,-2.16,0.128,0.61
3.1e-04,-2.2,0.136,0.57
3.1e-04,-2.16,0.128,0.59
3.1e-04,-2.12,0.128,0.59
3.1e-04,-2.16,0.12,0.59
3.1e-04,-2.16,0.128,0.57
3.1e-04,-2.12,0.136,0.57
3.1e-04,-2.2,0.12,0.59
3.1e-04,-2.12,0.128,0.59
3.1e-04,-2.12,0.136,0.61
3.2e-04,-2.12,0.12,0.59
3.2e-04,-2.12,0.128,0.61
3.2e-04,-2.2,0.12,0.59
3.2e-04,-2.12,0.128,0.59
3.2e-04,-2.12,0.12,0.59
3.2e-04,-2.12,0.128,0.59
3.2e-04,-2.16,0.128,0.57
3.2e-04,-2.16,0.128,0.59
3.2e-04,-2.16,0.12,0.57
3.2e-04,-2.12,0.128,0.59
3.3e-04,-2.16,0.128,0.59
3.3e-04,-2.12,0.128,0.59
3.3e-04,-2.12,0.128,0.57
3.3e-04,-2.08,0.128,0.57
3.3e-04,-2.12,0.128,0.57
3.3e-04,-2.12,0.128,0.57
3.3e-04,-2.12,0.136,0.57
3.3e-04,-2.12,0.128,0.59
3.3e-04,-2.12,0.128,0.57
3.3e-04,-2.16,0.136,0.57
3.4e-04,-2.16,0.128,0.57
3.4e-04,-2.2,0.12,0.59
3.4e-04,-2.12,0.136,0.59
3.4e-04,-2.16,0.128,0.59
3.4e-04,-2.16,0.128,0.59
3.4e-04,-2.16,0.12,0.59
3.4e-04,-2.16,0.128,0.57
3.4e-04,-2.12,0.12,0.59
3.4e-04,-2.12,0.128,0.59
3.4e-04,-2.08,0.12,0.59
3.5e-04,-2.12,0.128,0.59
3.5e-04,-2.12,0.128,0.59
3.5e-04,-2.12,0.136,0.59
3.5e-04,-2.16,0.128,0.57
3.5e-04,-2.12,0.128,0.61
3.5e-04,-2.12,0.12,0.57
3.5e-04,-2.12,0.128,0.57
3.5e-04,-2.12,0.12,0.57
3.5e-04,-2.12,0.136,0.57
3.5e-04,-2.12,0.128,0.59
3.6e-04,-2.16,0.128,0.57
3.6e-04,-2.12,0.12,0.59
3.6e-04,-2.12,0.128,0.57
3.6e-04,-2.16,0.12,0.57
3.6e-04,-2.12,0.136,0.61
3.6e-04,-2.12,0.12,0.59
3.6e-04,-2.08,0.128,0.59
3.6e-04,-2.12,0.128,0.57
3.6e-04,-2.12,0.12,0.55
