Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.02,,
Horizontal Delay,0.1,,
Sample Interval,2e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.1,0.1
Vertical Position,0,-1.44,-2.34
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
0.0e+00,-0.72,0.116,0.014
2.0e-06,-0.68,0.116,0.014
4.0e-06,-0.72,0.116,0.014
6.0e-06,-0.72,0.112,0.014
8.0e-06,-0.72,0.112,0.01
1.0e-05,-0.68,0.112,0.014
1.2e-05,-0.68,0.116,0.014
1.4e-05,-0.64,0.12,0.014
1.6e-05,-0.68,0.116,0.014
1.8e-05,-0.72,0.116,0.018
2.0e-05,-0.76,0.112,0.018
2.2e-05,-0.68,0.116,0.014
2.4e-05,-0.76,0.116,0.014
2.6e-05,-0.68,0.112,0.01
2.8e-05,-0.68,0.116,0.014
3.0e-05,-0.68,0.112,0.014
3.2e-05,-0.68,0.116,0.018
3.4e-05,-0.72,0.116,0.014
3.6e-05,-0.68,0.112,0.018
3.8e-05,-0.68,0.116,0.022
4.0e-05,-0.68,0.116,0.018
4.2e-05,-0.72,0.116,0.014
4.4e-05,-0.72,0.116,0.014
4.6e-05,-0.68,0.116,0.018
4.8e-05,-0.72,0.116,0.014
5.0e-05,-0.68,0.116,0.018
5.2e-05,-0.68,0.112,0.014
5.4e-05,-0.68,0.112,0.014
5.6e-05,-0.68,0.116,0.018
5.8e-05,-0.68,0.116,0.014
6.0e-05,-0.68,0.112,0.014
6.2e-05,-0.68,0.112,0.022
6.4e-05,-0.68,0.116,0.022
6.6e-05,-0.72,0.116,0.022
6.8e-05,-0.72,0.112,0.018
7.0e-05,-0.68,0.116,0.014
7.2e-05,-0.68,0.112,0.018
7.4e-05,-0.68,0.112,0.018
7.6e-05,-0.68,0.112,0.014
7.8e-05,-0.72,0.116,0.014
8.0e-05,-0.72,0.112,0.018
8.2e-05,-0.68,0.112,0.018
8.4e-05,-0.68,0.116,0.01
8.6e-05,-0.68,0.116,0.014
8.8e-05,-0.68,0.112,0.014
9.0e-05,-0.68,0.116,0.014
9.2e-05,-0.68,0.112,0.014
9.4e-05,-0.68,0.116,0.018
9.6e-05,-0.68,0.116,0.014
9.8e-05,-0.64,0.112,0.01
1.0e-04,-0.68,0.112,0.018
1.0e-04,-0.72,0.116,0.014
1.0e-04,-0.68,0.112,0.014
1.1e-04,-0.68,0.112,0.014
1.1e-04,-0.68,0.116,0.018
1.1e-04,-0.64,0.12,0.014
1.1e-04,-0.72,0.116,0.014
1.1e-04,-0.68,0.116,0.018
1.2e-04,-0.68,0.112,0.018
1.2e-04,-0.72,0.112,0.014
1.2e-04,-0.72,0.116,0.014
1.2e-04,-0.64,0.112,0.014
1.2e-04,-0.64,0.116,0.014
1.3e-04,-0.68,0.116,0.014
1.3e-04,-0.68,0.112,0.018
1.3e-04,-0.68,0.116,0.018
1.3e-04,-0.76,0.116,0.014
1.3e-04,-0.64,0.116,0.014
