Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.344000e-03,0.0034375,-0.0289063,0.267188,-0.00107656
-1.343000e-03,-0.016875,0.0203125,0.19375,-0.00103156
-1.342000e-03,-0.0315625,-0.0765625,0.196875,-0.00118094
-1.341000e-03,-0.0215625,-0.00390625,0.192187,-0.00129156
-1.340000e-03,-0.00625,-0.0648438,0.19375,-0.00138625
-1.339000e-03,-0.02125,-0.015625,0.14375,-0.00125625
-1.338000e-03,-0.01625,-0.0289063,0.19375,-0.00126094
-1.337000e-03,-0.0059375,-0.003125,0.270312,-0.00124125
-1.336000e-03,-0.00625,-0.028125,0.16875,-0.00129125
-1.335000e-03,-0.0209375,-0.0414063,0.245313,-0.00131125
-1.334000e-03,-0.00125,-0.053125,0.217187,-0.00126625
-1.333000e-03,-0.01625,0.009375,0.220313,-0.00134625
-1.332000e-03,-0.00625,0.009375,0.29375,-0.00117656
-1.331000e-03,0.01375,0.034375,0.342187,-0.00113656
-1.330000e-03,-0.0215625,0.046875,0.242188,-0.00118156
-1.329000e-03,-0.02625,-0.0273438,0.242188,-0.00110125
-1.328000e-03,-0.00125,-0.015625,0.217187,-0.00132625
-1.327000e-03,-0.0165625,-0.015625,0.242188,-0.00126156
-1.326000e-03,-0.0165625,-0.0289063,0.217187,-0.00116156
-1.325000e-03,-0.0209375,-0.0046875,0.24375,-0.00118094
-1.324000e-03,-0.02125,0.046875,0.242188,-0.00113625
-1.323000e-03,-0.01625,-0.028125,0.267188,-0.00119125
-1.322000e-03,-0.0109375,-0.0273438,0.24375,-0.00108625
-1.321000e-03,0.0034375,-0.015625,0.21875,-0.000986875
-1.320000e-03,-0.00125,-0.0164063,0.29375,-0.00085125
-1.319000e-03,-0.011875,-0.00390625,0.140625,-0.000981563
-1.318000e-03,0.0040625,-0.003125,0.271875,-0.000965938
-1.317000e-03,-0.00125,-0.078125,0.295312,-0.00111594
-1.316000e-03,-0.02125,-0.0539062,0.267188,-0.00110125
-1.315000e-03,-0.01625,0.009375,0.11875,-0.00118125
-1.314000e-03,-0.0009375,-0.0148437,0.245313,-0.00130125
-1.313000e-03,-0.001875,0.009375,0.242188,-0.00127656
-1.312000e-03,-0.0115625,-0.0664062,0.267188,-0.00126688
-1.311000e-03,-0.0165625,-0.0171875,0.217187,-0.00118688
-1.310000e-03,-0.01625,-0.003125,0.245313,-0.00127094
-1.309000e-03,-0.02625,-0.00390625,0.24375,-0.00125625
-1.308000e-03,-0.0265625,-0.0289063,0.06875,-0.00111125
-1.307000e-03,-0.02625,-0.015625,0.24375,-0.00117625
-1.306000e-03,-0.00125,-0.078125,0.29375,-0.00113625
-1.305000e-03,-0.01125,-0.0523438,0.120313,-0.00121625
-1.304000e-03,0.00875,-0.015625,0.19375,-0.00121656
-1.303000e-03,-0.01625,0.034375,0.24375,-0.00130625
-1.302000e-03,-0.01125,0.021875,0.245313,-0.00126594
-1.301000e-03,-0.01125,-0.028125,0.217187,-0.00124625
-1.300000e-03,-0.0115625,-0.065625,0.320312,-0.00139656
-1.299000e-03,-0.01125,-0.003125,0.220313,-0.00125125
-1.298000e-03,-0.02125,-0.040625,0.270312,-0.00125625
-1.297000e-03,0.01375,-0.040625,0.317187,-0.00115594
-1.296000e-03,-0.0365625,-0.0046875,0.19375,-0.00110688
-1.295000e-03,-0.01125,-0.0398438,0.29375,-0.00126656
-1.294000e-03,-0.0065625,0.009375,0.21875,-0.00121625
-1.293000e-03,-0.03125,-0.0164063,0.24375,-0.00116656
-1.292000e-03,-0.01625,-0.053125,0.345313,-0.00123156
-1.291000e-03,-0.01125,-0.053125,0.24375,-0.00113625
-1.290000e-03,-0.01125,-0.0398438,0.221875,-0.00113594
-1.289000e-03,-0.01125,-0.00390625,0.292188,-0.00113625
-1.288000e-03,-0.0215625,-0.00390625,0.165625,-0.00134156
-1.287000e-03,-0.0165625,-0.0671875,0.26875,-0.00131188
-1.286000e-03,-0.0159375,0.0109375,0.245313,-0.00112563
-1.285000e-03,-0.0015625,-0.0523438,0.167188,-0.00114156
-1.284000e-03,-0.0215625,-0.0414063,0.345313,-0.00115594
-1.283000e-03,0.01375,-0.00390625,0.270312,-0.00127125
-1.282000e-03,-0.0003125,0.0109375,0.295312,-0.00122063
-1.281000e-03,-0.016875,-0.0289063,0.192187,-0.00136656
-1.280000e-03,0.00375,0.009375,0.19375,-0.00114656
-1.279000e-03,-0.006875,0.0328125,0.292188,-0.00118656
-1.278000e-03,-0.0109375,0.0101562,0.170312,-0.00113594
-1.277000e-03,-0.0015625,-0.040625,0.245313,-0.00128125
-1.276000e-03,-0.0065625,0.0351562,0.24375,-0.00126625
-1.275000e-03,-0.0165625,0.0210937,0.192187,-0.00121688
-1.274000e-03,-0.02125,-0.0148437,0.242188,-0.00109156
-1.273000e-03,-0.02125,0.021875,0.26875,-0.00110625
-1.272000e-03,-0.010625,-0.0273438,0.09375,-0.00098125
-1.271000e-03,0.00375,-0.0015625,0.317187,-0.000791563
-1.270000e-03,-0.02625,-0.028125,0.26875,-0.00092625
-1.269000e-03,-0.00625,0.0226562,0.21875,-0.00104625
-1.268000e-03,-0.0059375,-0.0273438,0.16875,-0.000825938
-1.267000e-03,-0.006875,-0.040625,0.19375,-0.000645625
-1.266000e-03,-0.01125,-0.00234375,0.24375,-0.00084125
-1.265000e-03,-0.001875,-0.0164063,0.342187,-0.000931563
-1.264000e-03,0.00375,-0.0664062,0.117188,-0.00108156
-1.263000e-03,-0.00625,-0.028125,0.19375,-0.00099125
-1.262000e-03,-0.001875,0.00859375,0.215625,-0.00107656
-1.261000e-03,-0.01125,-0.015625,0.24375,-0.00108625
-1.260000e-03,-0.0265625,-0.028125,0.217187,-0.00107625
-1.259000e-03,-0.01625,-0.015625,0.270312,-0.00104594
-1.258000e-03,0.01375,-0.0515625,0.220313,-0.00102625
-1.257000e-03,-0.0309375,-0.028125,0.267188,-0.00108656
-1.256000e-03,-0.0065625,-0.078125,0.214063,-0.00105688
-1.255000e-03,0.0034375,0.00859375,0.192187,-0.00105156
-1.254000e-03,0.009375,-0.078125,0.271875,-0.000995313
-1.253000e-03,-0.0015625,-0.0398438,0.24375,-0.00127125
-1.252000e-03,-0.001875,0.021875,0.317187,-0.00127656
-1.251000e-03,-0.0109375,-0.0664062,0.16875,-0.00131656
-1.250000e-03,-0.0159375,-0.015625,0.16875,-0.00125625
-1.249000e-03,-0.02125,-0.078125,0.242188,-0.00129656
-1.248000e-03,-0.0165625,0.009375,0.16875,-0.00131156
-1.247000e-03,-0.0015625,-0.0289063,0.214063,-0.00112188
-1.246000e-03,-0.02125,0.009375,0.217187,-0.00108125
-1.245000e-03,-0.0015625,-0.0148437,0.217187,-0.00108625
-1.244000e-03,-0.0165625,-0.053125,0.19375,-0.00112094
-1.243000e-03,0.008125,-0.0671875,0.217187,-0.00120156
-1.242000e-03,-0.01625,-0.0539062,0.192187,-0.00116656
-1.241000e-03,-0.0065625,-0.065625,0.167188,-0.00112656
-1.240000e-03,-0.01125,-0.015625,0.320312,-0.00093125
-1.239000e-03,0.00375,-0.0414063,0.217187,-0.00109594
-1.238000e-03,-0.0165625,-0.00390625,0.267188,-0.00100094
-1.237000e-03,-0.00125,0.00859375,0.11875,-0.00107094
-1.236000e-03,0.00875,0.00859375,0.26875,-0.000935938
-1.235000e-03,-0.01625,-0.028125,0.295312,-0.00118125
-1.234000e-03,-0.0115625,-0.028125,0.31875,-0.00104625
-1.233000e-03,-0.0065625,-0.078125,0.240625,-0.00114688
-1.232000e-03,-0.0165625,-0.0664062,0.19375,-0.00111656
-1.231000e-03,-0.03625,-0.003125,0.16875,-0.00126156
-1.230000e-03,-0.02125,-0.090625,0.242188,-0.00114656
-1.229000e-03,-0.0165625,-0.0289063,0.24375,-0.00107625
-1.228000e-03,-0.0165625,0.00859375,0.292188,-0.00107156
-1.227000e-03,-0.0059375,-0.040625,0.295312,-0.000920938
-1.226000e-03,-0.0215625,-0.078125,0.24375,-0.00107625
-1.225000e-03,-0.021875,0.0210937,0.19375,-0.00115656
-1.224000e-03,-0.0015625,-0.0289063,0.242188,-0.00098125
-1.223000e-03,-0.01625,-0.0789063,0.342187,-0.00107656
-1.222000e-03,-0.010625,-0.00234375,0.320312,-0.000905938
-1.221000e-03,-0.01125,0.00859375,0.217187,-0.000931563
-1.220000e-03,-0.00125,-0.065625,0.21875,-0.00110156
-1.219000e-03,-0.01125,-0.0273438,0.292188,-0.00109625
-1.218000e-03,0.0190625,-0.028125,0.320312,-0.00110125
-1.217000e-03,0.0090625,-0.090625,0.41875,-0.00105625
-1.216000e-03,-0.00625,0.0101562,0.167188,-0.00116125
-1.215000e-03,-0.006875,-0.0171875,0.214063,-0.00119688
-1.214000e-03,0.00875,0.0101562,0.370313,-0.00128125
-1.213000e-03,-0.0065625,-0.053125,0.21875,-0.00111156
-1.212000e-03,-0.0115625,0.0078125,0.192187,-0.00102656
-1.211000e-03,-0.02125,-0.0414063,0.21875,-0.00103594
-1.210000e-03,-0.01625,-0.0046875,0.217187,-0.000910938
-1.209000e-03,0.00375,0.00859375,0.24375,-0.00100656
-1.208000e-03,-0.01125,-0.102344,0.24375,-0.00105094
-1.207000e-03,-0.02125,-0.015625,0.267188,-0.00107625
-1.206000e-03,0.0034375,-0.0414063,0.117188,-0.00105656
-1.205000e-03,-0.00625,-0.0398438,0.292188,-0.000950938
-1.204000e-03,0.0040625,-0.0648438,0.271875,-0.000940625
-1.203000e-03,0.00375,-0.028125,0.14375,-0.00091125
-1.202000e-03,-0.00625,-0.040625,0.242188,-0.00101125
-1.201000e-03,-0.016875,-0.078125,0.242188,-0.00104125
-1.200000e-03,-0.0015625,-0.0789063,0.215625,-0.00104125
-1.199000e-03,-0.00625,0.009375,0.26875,-0.000926563
-1.198000e-03,-0.00125,-0.040625,0.317187,-0.00094125
-1.197000e-03,-0.0265625,-0.053125,0.165625,-0.00099625
-1.196000e-03,-0.026875,-0.0414063,0.292188,-0.000996563
-1.195000e-03,-0.0059375,-0.0773437,0.270312,-0.00125531
-1.194000e-03,-0.00625,-0.0789063,0.217187,-0.00114156
-1.193000e-03,-0.00625,0.0585938,0.195312,-0.00119094
-1.192000e-03,-0.0015625,-0.0796875,0.242188,-0.00129156
-1.191000e-03,-0.0215625,-0.0148437,0.217187,-0.00127125
-1.190000e-03,-0.015625,-0.0640625,0.195312,-0.00118594
-1.189000e-03,-0.0109375,-0.053125,0.267188,-0.00132125
-1.188000e-03,-0.01625,-0.003125,0.370313,-0.00130625
-1.187000e-03,-0.01625,-0.0773437,0.14375,-0.00117156
-1.186000e-03,-0.01125,-0.0273438,0.145312,-0.00127594
-1.185000e-03,-0.0065625,-0.028125,0.26875,-0.00141625
-1.184000e-03,-0.0115625,-0.0414063,0.265625,-0.00118625
-1.183000e-03,-0.0015625,-0.015625,0.292188,-0.00139688
-1.182000e-03,-0.0265625,-0.040625,0.21875,-0.00151156
-1.181000e-03,-0.0115625,0.0328125,0.19375,-0.00141188
-1.180000e-03,-0.00625,0.021875,0.29375,-0.00133625
-1.179000e-03,-0.0115625,-0.028125,0.242188,-0.00128125
-1.178000e-03,-0.0215625,-0.015625,0.192187,-0.00133156
-1.177000e-03,0.0084375,-0.003125,0.26875,-0.00135125
-1.176000e-03,-0.0159375,-0.0640625,0.220313,-0.00123094
-1.175000e-03,0.00375,-0.028125,0.24375,-0.00129125
-1.174000e-03,-0.01625,0.0210937,0.242188,-0.00135094
-1.173000e-03,-0.016875,-0.0164063,0.242188,-0.00126656
-1.172000e-03,-0.010625,0.009375,0.146875,-0.00118594
-1.171000e-03,-0.00625,-0.0523438,0.292188,-0.00121125
-1.170000e-03,-0.02125,-0.003125,0.170312,-0.00134625
-1.169000e-03,-0.0015625,-0.0414063,0.165625,-0.00140656
-1.168000e-03,-0.01125,0.009375,0.11875,-0.00137094
-1.167000e-03,-0.01125,-0.0398438,0.220313,-0.00115094
-1.166000e-03,0.0084375,-0.0164063,0.24375,-0.00133156
-1.165000e-03,-0.02625,-0.0289063,0.167188,-0.00121125
-1.164000e-03,-0.03125,-0.0898438,0.190625,-0.00140656
-1.163000e-03,-0.0059375,0.0101562,0.248437,-0.00131063
-1.162000e-03,-0.0015625,-0.0664062,0.217187,-0.00122656
-1.161000e-03,-0.01125,0.009375,0.19375,-0.00108156
-1.160000e-03,-0.0115625,0.0210937,0.217187,-0.000911875
-1.159000e-03,-0.0115625,-0.015625,0.21875,-0.000911563
-1.158000e-03,-0.015625,-0.0273438,0.195312,-0.000960938
-1.157000e-03,-0.0115625,-0.0164063,0.317187,-0.00106188
-1.156000e-03,-0.0065625,0.009375,0.21875,-0.00109594
-1.155000e-03,-0.0215625,-0.015625,0.26875,-0.00106125
-1.154000e-03,-0.0159375,0.0351562,0.195312,-0.00095625
-1.153000e-03,-0.0165625,-0.00234375,0.245313,-0.00121156
-1.152000e-03,-0.0215625,0.059375,0.242188,-0.00121625
-1.151000e-03,-0.026875,-0.0296875,0.140625,-0.00110156
-1.150000e-03,-0.00625,-0.053125,0.267188,-0.00106625
-1.149000e-03,-0.0065625,-0.0539062,0.217187,-0.00107094
-1.148000e-03,0.00375,-0.015625,0.267188,-0.00115625
-1.147000e-03,-0.01125,-0.0164063,0.217187,-0.00125156
-1.146000e-03,-0.0065625,-0.0421875,0.242188,-0.00128656
-1.145000e-03,-0.01125,-0.0164063,0.09375,-0.00122125
-1.144000e-03,0.0040625,-0.0273438,0.246875,-0.00137125
-1.143000e-03,-0.0015625,-0.0164063,0.26875,-0.00135156
-1.142000e-03,-0.00625,-0.028125,0.24375,-0.00119625
-1.141000e-03,-0.0215625,-0.00390625,0.26875,-0.00115188
-1.140000e-03,-0.0109375,-0.0148437,0.195312,-0.00116031
-1.139000e-03,-0.00625,-0.065625,0.14375,-0.00118125
-1.138000e-03,-0.01625,-0.053125,0.242188,-0.00123688
-1.137000e-03,-0.0215625,-0.0414063,0.367188,-0.00111188
-1.136000e-03,-0.01625,-0.028125,0.24375,-0.00101656
-1.135000e-03,-0.0109375,-0.0664062,0.270312,-0.00101594
-1.134000e-03,-0.0115625,0.0710938,0.217187,-0.000966563
-1.133000e-03,-0.0065625,0.0101562,0.267188,-0.00111656
-1.132000e-03,0.01375,-0.040625,0.21875,-0.00100156
-1.131000e-03,-0.0159375,-0.0765625,0.34375,-0.00103094
-1.130000e-03,-0.01625,-0.053125,0.29375,-0.00105625
-1.129000e-03,-0.0059375,-0.003125,0.24375,-0.00110625
-1.128000e-03,0.013125,0.0078125,0.290625,-0.00105188
-1.127000e-03,-0.00125,-0.040625,0.29375,-0.00104094
-1.126000e-03,-0.0159375,0.00859375,0.21875,-0.00115594
-1.125000e-03,-0.0065625,-0.0523438,0.192187,-0.00120125
-1.124000e-03,-0.01125,-0.0414063,0.21875,-0.00094625
-1.123000e-03,-0.00125,0.0226562,0.220313,-0.00104625
-1.122000e-03,0.00375,-0.015625,0.245313,-0.000880938
-1.121000e-03,-0.00625,0.021875,0.29375,-0.000975938
-1.120000e-03,-0.00625,-0.0164063,0.242188,-0.00105688
-1.119000e-03,-0.0165625,-0.040625,0.290625,-0.00111188
-1.118000e-03,-0.0165625,-0.003125,0.14375,-0.00116625
-1.117000e-03,-0.0115625,-0.053125,0.267188,-0.00133656
