Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.2,0.5
Vertical Position,0,-1.72,-3.18
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
0.0e+00,-2.2,0.144,0.53
1.0e-06,-2.2,0.152,0.53
2.0e-06,-2.16,0.144,0.51
3.0e-06,-2.2,0.144,0.53
4.0e-06,-2.2,0.136,0.51
5.0e-06,-2.24,0.136,0.51
6.0e-06,-2.2,0.136,0.51
7.0e-06,-2.2,0.144,0.53
8.0e-06,-2.2,0.136,0.55
9.0e-06,-2.24,0.144,0.51
1.0e-05,-2.2,0.152,0.51
1.1e-05,-2.24,0.136,0.53
1.2e-05,-2.24,0.136,0.53
1.3e-05,-2.2,0.144,0.53
1.4e-05,-2.24,0.144,0.53
1.5e-05,-2.2,0.144,0.55
1.6e-05,-2.24,0.136,0.53
1.7e-05,-2.28,0.136,0.55
1.8e-05,-2.2,0.144,0.53
1.9e-05,-2.24,0.144,0.53
2.0e-05,-2.24,0.136,0.51
2.1e-05,-2.2,0.144,0.51
2.2e-05,-2.24,0.136,0.53
2.3e-05,-2.2,0.136,0.51
2.4e-05,-2.2,0.136,0.53
2.5e-05,-2.24,0.144,0.51
2.6e-05,-2.24,0.144,0.53
2.7e-05,-2.28,0.144,0.51
2.8e-05,-2.28,0.136,0.51
2.9e-05,-2.24,0.144,0.51
3.0e-05,-2.2,0.144,0.51
3.1e-05,-2.2,0.144,0.51
3.2e-05,-2.24,0.152,0.53
3.3e-05,-2.2,0.144,0.51
3.4e-05,-2.2,0.144,0.51
3.5e-05,-2.2,0.136,0.51
3.6e-05,-2.2,0.152,0.51
3.7e-05,-2.24,0.136,0.51
3.8e-05,-2.2,0.136,0.53
3.9e-05,-2.24,0.136,0.51
4.0e-05,-2.2,0.152,0.51
4.1e-05,-2.24,0.136,0.51
4.2e-05,-2.2,0.144,0.51
4.3e-05,-2.2,0.144,0.51
4.4e-05,-2.2,0.136,0.51
4.5e-05,-2.2,0.144,0.51
4.6e-05,-2.24,0.152,0.49
4.7e-05,-2.2,0.144,0.51
4.8e-05,-2.2,0.144,0.53
4.9e-05,-2.24,0.144,0.51
5.0e-05,-2.2,0.136,0.51
5.1e-05,-2.2,0.144,0.51
5.2e-05,-2.2,0.136,0.51
5.3e-05,-2.24,0.136,0.51
5.4e-05,-2.2,0.144,0.51
5.5e-05,-2.24,0.136,0.51
5.6e-05,-2.16,0.144,0.51
5.7e-05,-2.24,0.144,0.51
5.8e-05,-2.2,0.152,0.49
5.9e-05,-2.2,0.152,0.51
6.0e-05,-2.2,0.136,0.51
6.1e-05,-2.16,0.136,0.53
6.2e-05,-2.16,0.128,0.51
6.3e-05,-2.2,0.136,0.49
6.4e-05,-2.2,0.152,0.51
6.5e-05,-2.24,0.144,0.51
6.6e-05,-2.2,0.144,0.53
6.7e-05,-2.2,0.144,0.49
