Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.2,0.05
Vertical Position,0,-1.8,-2.34
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
1.5e-04,-0.72,0.408,0.043
1.5e-04,-0.68,0.4,0.043
1.5e-04,-0.68,0.4,0.043
1.5e-04,-0.68,0.4,0.043
1.5e-04,-0.68,0.408,0.043
1.5e-04,-0.72,0.4,0.043
1.5e-04,-0.68,0.4,0.043
1.5e-04,-0.72,0.408,0.043
1.5e-04,-0.68,0.408,0.043
1.6e-04,-0.68,0.408,0.045
1.6e-04,-0.68,0.408,0.041
1.6e-04,-0.68,0.4,0.041
1.6e-04,-0.72,0.408,0.039
1.6e-04,-0.68,0.4,0.043
1.6e-04,-0.72,0.408,0.043
1.6e-04,-0.68,0.4,0.043
1.6e-04,-0.68,0.408,0.041
1.6e-04,-0.68,0.4,0.043
1.7e-04,-0.72,0.4,0.041
1.7e-04,-0.64,0.392,0.041
1.7e-04,-0.64,0.408,0.041
1.7e-04,-0.64,0.4,0.043
1.7e-04,-0.68,0.4,0.043
1.7e-04,-0.68,0.4,0.041
1.7e-04,-0.68,0.4,0.043
1.7e-04,-0.68,0.4,0.039
1.7e-04,-0.68,0.4,0.043
1.7e-04,-0.68,0.416,0.043
1.8e-04,-0.68,0.408,0.043
1.8e-04,-0.68,0.4,0.043
1.8e-04,-0.72,0.4,0.045
1.8e-04,-0.68,0.4,0.041
1.8e-04,-0.68,0.408,0.043
1.8e-04,-0.68,0.408,0.039
1.8e-04,-0.68,0.4,0.043
1.8e-04,-0.68,0.392,0.039
1.8e-04,-0.68,0.4,0.043
1.8e-04,-0.68,0.408,0.045
1.9e-04,-0.68,0.408,0.041
1.9e-04,-0.72,0.392,0.041
1.9e-04,-0.68,0.4,0.041
1.9e-04,-0.68,0.4,0.041
1.9e-04,-0.68,0.4,0.045
1.9e-04,-0.68,0.4,0.043
1.9e-04,-0.64,0.4,0.041
1.9e-04,-0.68,0.4,0.045
1.9e-04,-0.68,0.408,0.045
1.9e-04,-0.68,0.408,0.045
2.0e-04,-0.72,0.392,0.041
2.0e-04,-0.64,0.408,0.043
2.0e-04,-0.64,0.4,0.041
2.0e-04,-0.68,0.4,0.041
2.0e-04,-0.68,0.408,0.043
2.0e-04,-0.68,0.408,0.041
2.0e-04,-0.68,0.4,0.043
2.0e-04,-0.72,0.4,0.043
2.0e-04,-0.64,0.416,0.043
2.0e-04,-0.64,0.4,0.043
2.1e-04,-0.64,0.408,0.041
2.1e-04,-0.64,0.408,0.041
2.1e-04,-0.64,0.408,0.045
2.1e-04,-0.64,0.4,0.043
2.1e-04,-0.64,0.408,0.043
2.1e-04,-0.64,0.408,0.041
2.1e-04,-0.68,0.4,0.041
2.1e-04,-0.72,0.408,0.041
2.1e-04,-0.64,0.4,0.041
2.1e-04,-0.68,0.408,0.043
2.2e-04,-0.64,0.4,0.041
2.2e-04,-0.68,0.408,0.041
2.2e-04,-0.68,0.408,0.041
2.2e-04,-0.68,0.4,0.043
2.2e-04,-0.64,0.408,0.041
2.2e-04,-0.72,0.392,0.043
2.2e-04,-0.6,0.408,0.043
2.2e-04,-0.68,0.408,0.041
2.2e-04,-0.68,0.4,0.043
2.2e-04,-0.68,0.4,0.043
2.3e-04,-0.64,0.4,0.043
2.3e-04,-0.64,0.4,0.043
2.3e-04,-0.68,0.4,0.043
2.3e-04,-0.68,0.4,0.045
2.3e-04,-0.68,0.4,0.041
2.3e-04,-0.68,0.4,0.041
2.3e-04,-0.64,0.408,0.041
2.3e-04,-0.68,0.408,0.041
2.3e-04,-0.64,0.4,0.039
2.3e-04,-0.68,0.4,0.043
2.4e-04,-0.68,0.408,0.041
2.4e-04,-0.64,0.408,0.045
2.4e-04,-0.72,0.4,0.043
2.4e-04,-0.68,0.408,0.041
2.4e-04,-0.68,0.408,0.043
2.4e-04,-0.68,0.4,0.043
2.4e-04,-0.64,0.4,0.041
2.4e-04,-0.64,0.4,0.043
2.4e-04,-0.72,0.4,0.043
2.4e-04,-0.68,0.4,0.043
2.4e-04,-0.68,0.4,0.039
2.5e-04,-0.72,0.4,0.041
2.5e-04,-0.72,0.408,0.043
2.5e-04,-0.68,0.4,0.043
2.5e-04,-0.64,0.408,0.041
2.5e-04,-0.68,0.408,0.041
2.5e-04,-0.68,0.4,0.041
2.5e-04,-0.64,0.4,0.041
2.5e-04,-0.68,0.408,0.041
2.5e-04,-0.64,0.4,0.043
2.6e-04,-0.68,0.4,0.041
2.6e-04,-0.64,0.4,0.039
2.6e-04,-0.68,0.408,0.043
2.6e-04,-0.68,0.392,0.043
2.6e-04,-0.68,0.4,0.041
2.6e-04,-0.64,0.4,0.039
2.6e-04,-0.64,0.408,0.045
2.6e-04,-0.64,0.4,0.043
2.6e-04,-0.68,0.4,0.043
2.6e-04,-0.68,0.392,0.043
2.7e-04,-0.64,0.408,0.043
2.7e-04,-0.68,0.4,0.041
2.7e-04,-0.64,0.408,0.043
2.7e-04,-0.72,0.4,0.041
2.7e-04,-0.64,0.4,0.043
2.7e-04,-0.68,0.4,0.043
2.7e-04,-0.68,0.392,0.039
2.7e-04,-0.64,0.408,0.041
2.7e-04,-0.64,0.4,0.043
2.7e-04,-0.68,0.4,0.043
2.8e-04,-0.68,0.408,0.041
2.8e-04,-0.68,0.408,0.041
2.8e-04,-0.64,0.4,0.043
2.8e-04,-0.64,0.408,0.043
2.8e-04,-0.64,0.408,0.043
2.8e-04,-0.68,0.408,0.043
2.8e-04,-0.68,0.4,0.041
2.8e-04,-0.64,0.408,0.041
2.8e-04,-0.64,0.408,0.043
2.8e-04,-0.68,0.4,0.043
2.9e-04,-0.68,0.4,0.043
2.9e-04,-0.64,0.4,0.043
2.9e-04,-0.68,0.4,0.043
2.9e-04,-0.68,0.4,0.043
2.9e-04,-0.68,0.408,0.045
2.9e-04,-0.68,0.392,0.043
2.9e-04,-0.68,0.408,0.043
2.9e-04,-0.64,0.4,0.043
2.9e-04,-0.72,0.4,0.041
2.9e-04,-0.68,0.408,0.043
3.0e-04,-0.68,0.4,0.045
3.0e-04,-0.64,0.408,0.043
3.0e-04,-0.68,0.408,0.041
3.0e-04,-0.68,0.408,0.043
3.0e-04,-0.64,0.4,0.043
3.0e-04,-0.72,0.408,0.043
3.0e-04,-0.68,0.4,0.043
3.0e-04,-0.68,0.4,0.041
3.0e-04,-0.72,0.4,0.041
3.0e-04,-0.64,0.408,0.043
3.1e-04,-0.68,0.408,0.043
3.1e-04,-0.64,0.408,0.039
3.1e-04,-0.68,0.4,0.043
3.1e-04,-0.64,0.4,0.043
3.1e-04,-0.68,0.408,0.037
3.1e-04,-0.64,0.408,0.043
3.1e-04,-0.68,0.408,0.041
3.1e-04,-0.64,0.4,0.043
3.1e-04,-0.64,0.408,0.043
3.1e-04,-0.64,0.4,0.039
3.2e-04,-0.68,0.408,0.043
3.2e-04,-0.68,0.408,0.041
3.2e-04,-0.68,0.408,0.041
3.2e-04,-0.68,0.4,0.045
3.2e-04,-0.64,0.408,0.041
3.2e-04,-0.64,0.408,0.043
3.2e-04,-0.64,0.408,0.043
3.2e-04,-0.64,0.408,0.043
3.2e-04,-0.68,0.408,0.041
3.2e-04,-0.64,0.392,0.041
3.3e-04,-0.68,0.4,0.045
3.3e-04,-0.68,0.4,0.041
3.3e-04,-0.68,0.4,0.041
3.3e-04,-0.68,0.4,0.043
3.3e-04,-0.72,0.4,0.043
3.3e-04,-0.64,0.392,0.045
3.3e-04,-0.68,0.4,0.041
3.3e-04,-0.68,0.4,0.043
3.3e-04,-0.64,0.4,0.043
3.3e-04,-0.68,0.408,0.043
3.4e-04,-0.64,0.408,0.043
3.4e-04,-0.68,0.408,0.045
3.4e-04,-0.64,0.408,0.045
3.4e-04,-0.64,0.408,0.041
