Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.2,0.5
Vertical Position,0,-3.16,-3.18
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
0.0e+00,-2.24,0.248,1.45
1.0e-06,-2.2,0.264,1.43
2.0e-06,-2.2,0.256,1.45
3.0e-06,-2.2,0.256,1.45
4.0e-06,-2.2,0.256,1.45
5.0e-06,-2.24,0.256,1.47
6.0e-06,-2.24,0.256,1.45
7.0e-06,-2.28,0.264,1.45
8.0e-06,-2.24,0.256,1.45
9.0e-06,-2.24,0.256,1.45
1.0e-05,-2.24,0.248,1.45
1.1e-05,-2.24,0.248,1.47
1.2e-05,-2.24,0.256,1.47
1.3e-05,-2.2,0.256,1.45
1.4e-05,-2.24,0.248,1.45
1.5e-05,-2.24,0.248,1.43
1.6e-05,-2.24,0.256,1.45
1.7e-05,-2.2,0.264,1.45
1.8e-05,-2.2,0.256,1.43
1.9e-05,-2.24,0.264,1.45
2.0e-05,-2.28,0.256,1.45
2.1e-05,-2.24,0.256,1.45
2.2e-05,-2.2,0.256,1.43
2.3e-05,-2.24,0.248,1.45
2.4e-05,-2.24,0.264,1.45
2.5e-05,-2.16,0.256,1.45
2.6e-05,-2.24,0.256,1.45
2.7e-05,-2.2,0.264,1.45
2.8e-05,-2.2,0.256,1.45
2.9e-05,-2.2,0.256,1.43
3.0e-05,-2.2,0.264,1.43
3.1e-05,-2.24,0.256,1.45
3.2e-05,-2.2,0.264,1.45
3.3e-05,-2.24,0.264,1.45
3.4e-05,-2.2,0.248,1.45
3.5e-05,-2.24,0.256,1.45
3.6e-05,-2.2,0.256,1.45
3.7e-05,-2.24,0.256,1.45
3.8e-05,-2.2,0.256,1.45
3.9e-05,-2.2,0.264,1.45
4.0e-05,-2.24,0.264,1.45
4.1e-05,-2.24,0.248,1.45
4.2e-05,-2.2,0.272,1.45
4.3e-05,-2.2,0.264,1.45
4.4e-05,-2.2,0.264,1.45
4.5e-05,-2.24,0.256,1.47
4.6e-05,-2.2,0.248,1.45
4.7e-05,-2.24,0.256,1.45
4.8e-05,-2.24,0.256,1.47
4.9e-05,-2.24,0.264,1.45
5.0e-05,-2.24,0.256,1.45
5.1e-05,-2.24,0.256,1.45
5.2e-05,-2.2,0.264,1.45
5.3e-05,-2.24,0.264,1.45
5.4e-05,-2.2,0.264,1.45
5.5e-05,-2.2,0.256,1.43
5.6e-05,-2.24,0.256,1.45
5.7e-05,-2.24,0.248,1.45
5.8e-05,-2.2,0.248,1.43
5.9e-05,-2.24,0.256,1.45
6.0e-05,-2.24,0.256,1.45
6.1e-05,-2.2,0.248,1.45
6.2e-05,-2.2,0.256,1.45
6.3e-05,-2.2,0.248,1.45
6.4e-05,-2.2,0.264,1.45
6.5e-05,-2.2,0.256,1.45
6.6e-05,-2.24,0.256,1.43
6.7e-05,-2.2,0.264,1.45
