Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.342000e-03,0.0034375,-0.0414063,0.0921875,-0.000591563
-1.341000e-03,0.0034375,-0.0515625,0.121875,-0.000625625
-1.340000e-03,0.0234375,-0.0664062,0.192187,-0.000911875
-1.339000e-03,0.02875,-0.003125,0.21875,-0.00099125
-1.338000e-03,0.018125,-0.0164063,0.117188,-0.00101656
-1.337000e-03,0.0034375,-0.0398438,0.16875,-0.00104656
-1.336000e-03,0.0140625,-0.065625,0.221875,-0.000960938
-1.335000e-03,0.018125,-0.0539062,0.190625,-0.000971875
-1.334000e-03,0.0184375,-0.003125,0.171875,-0.000956563
-1.333000e-03,0.02875,-0.0164063,0.242188,-0.00110656
-1.332000e-03,0.0084375,-0.028125,0.167188,-0.00100656
-1.331000e-03,0.0084375,0.009375,0.167188,-0.00099125
-1.330000e-03,0.018125,-0.0164063,0.192187,-0.00101125
-1.329000e-03,-0.00125,0.0460937,0.11875,-0.00094625
-1.328000e-03,0.01875,-0.065625,0.115625,-0.00100625
-1.327000e-03,0.024375,-0.0648438,0.270312,-0.00082125
-1.326000e-03,0.00875,0.0585938,0.142188,-0.00082125
-1.325000e-03,0.0328125,-0.0289063,0.167188,-0.000756563
-1.324000e-03,0.0084375,-0.0664062,0.26875,-0.000601563
-1.323000e-03,0.0234375,-0.0648438,0.196875,-0.000670938
-1.322000e-03,0.00875,0.034375,0.142188,-0.000856563
-1.321000e-03,0.00875,-0.040625,0.242188,-0.000741875
-1.320000e-03,0.01875,-0.00390625,0.217187,-0.00085625
-1.319000e-03,0.00375,0.034375,0.19375,-0.00088125
