Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.02,,
Horizontal Delay,0.1,,
Sample Interval,2e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.1,0.1
Vertical Position,0,-1.44,-2.34
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
0.0e+00,-0.68,0.16,0.026
2.0e-06,-0.64,0.164,0.022
4.0e-06,-0.64,0.164,0.022
6.0e-06,-0.72,0.164,0.022
8.0e-06,-0.68,0.164,0.022
1.0e-05,-0.68,0.16,0.018
1.2e-05,-0.68,0.164,0.022
1.4e-05,-0.68,0.164,0.018
1.6e-05,-0.64,0.164,0.026
1.8e-05,-0.72,0.16,0.022
2.0e-05,-0.64,0.164,0.022
2.2e-05,-0.68,0.164,0.022
2.4e-05,-0.68,0.16,0.018
2.6e-05,-0.72,0.16,0.026
2.8e-05,-0.72,0.164,0.022
3.0e-05,-0.68,0.16,0.022
3.2e-05,-0.72,0.164,0.018
3.4e-05,-0.72,0.164,0.022
3.6e-05,-0.68,0.164,0.018
3.8e-05,-0.68,0.164,0.022
4.0e-05,-0.72,0.16,0.026
4.2e-05,-0.68,0.16,0.022
4.4e-05,-0.68,0.164,0.022
4.6e-05,-0.72,0.164,0.022
4.8e-05,-0.72,0.16,0.026
5.0e-05,-0.72,0.16,0.022
5.2e-05,-0.72,0.16,0.022
5.4e-05,-0.64,0.164,0.022
5.6e-05,-0.64,0.156,0.026
5.8e-05,-0.68,0.16,0.022
6.0e-05,-0.68,0.164,0.022
6.2e-05,-0.68,0.164,0.026
6.4e-05,-0.68,0.164,0.022
6.6e-05,-0.68,0.16,0.022
6.8e-05,-0.68,0.164,0.022
7.0e-05,-0.68,0.164,0.018
7.2e-05,-0.68,0.16,0.018
7.4e-05,-0.68,0.156,0.022
7.6e-05,-0.68,0.164,0.018
7.8e-05,-0.68,0.168,0.026
8.0e-05,-0.68,0.16,0.018
8.2e-05,-0.68,0.16,0.022
8.4e-05,-0.68,0.164,0.014
8.6e-05,-0.64,0.164,0.022
8.8e-05,-0.64,0.164,0.026
9.0e-05,-0.64,0.164,0.022
9.2e-05,-0.68,0.164,0.022
9.4e-05,-0.72,0.164,0.022
9.6e-05,-0.68,0.156,0.026
9.8e-05,-0.68,0.164,0.026
1.0e-04,-0.68,0.164,0.022
1.0e-04,-0.68,0.16,0.022
1.0e-04,-0.72,0.16,0.022
1.1e-04,-0.72,0.16,0.022
1.1e-04,-0.72,0.16,0.022
1.1e-04,-0.64,0.16,0.022
1.1e-04,-0.68,0.164,0.018
1.1e-04,-0.72,0.164,0.022
1.2e-04,-0.72,0.16,0.022
1.2e-04,-0.68,0.164,0.022
1.2e-04,-0.72,0.16,0.022
1.2e-04,-0.68,0.168,0.026
1.2e-04,-0.68,0.16,0.022
1.3e-04,-0.64,0.164,0.022
1.3e-04,-0.68,0.16,0.026
1.3e-04,-0.68,0.164,0.022
1.3e-04,-0.64,0.164,0.018
1.3e-04,-0.68,0.164,0.022
